,gra_prof,gra_tydz_weekend,gra_typ,gra_platforma,gra_klan,gra_grind,pandemia_start,pandemia_gra_wiecej,pandemia_czas,pozytyw_ucieczka,pozytyw_samokontrola,pozytyw_koncentracja,pozytyw_koordynacja,negatyw_gra_pomimo_konsekwencji,negatyw_gra_dluzej,negatyw_gra_nad_inne_aktywnosci,negatyw_zaniedbania,negatyw_gniew,tow_kontakty,tow_inni_sie_przejmuja,tow_brak_towarzystwa,tow_izolacja,tow_przytloczenie,rok,zwiazek,praca,WynikLudzki
0,nie,30,offline,pc,nie,nie,poza,tak,nie,tak,tak,4,4,czasami,czesto,zawsze,czasami,rzadko,3,rzadko,rzadko,rzadko,nigdy,3,tak,nie,0
1,nie,50,online,pc,nie,tak,poza,tak,tak,tak,tak,4,4,czasami,czesto,czasami,czasami,rzadko,3,czasami,czesto,czesto,rzadko,3,nie,nie,0
2,nie,15,online,pc,tak,nie,poza,tak,nie,nie,nie,3,3,czasami,czesto,czesto,czesto,zawsze,3,czesto,czasami,rzadko,nigdy,3,nie,nie,1
3,nie,30,online,pc,nie,nie,poza,tak,nie,nie,tak,4,4,czasami,czesto,rzadko,czasami,zawsze,5,czasami,rzadko,nigdy,nigdy,2,nie,nie,0
4,nie,100,offline,pc,nie,nie,poza,tak,tak,tak,tak,3,4,czasami,czesto,rzadko,czasami,rzadko,4,czasami,czasami,czasami,rzadko,3,nie,tak,0
5,nie,100,offline,pc,nie,tak,poza,nie,nie,nie,tak,3,3,rzadko,czasami,nigdy,rzadko,nigdy,4,czasami,czesto,czasami,nigdy,3,tak,tak,0
6,nie,100,offline,pc,nie,nie,poza,tak,tak,tak,tak,5,5,rzadko,czasami,nigdy,nigdy,rzadko,5,nigdy,nigdy,nigdy,nigdy,2,tak,nie,0
7,nie,26,offline,pc,nie,tak,poza,tak,tak,tak,tak,3,4,czasami,czesto,czasami,czasami,czasami,4,nigdy,rzadko,rzadko,rzadko,2,nie,nie,0
8,nie,43,online,pc,nie,nie,poza,tak,tak,tak,tak,4,4,rzadko,czasami,rzadko,czasami,czasami,5,rzadko,rzadko,rzadko,rzadko,2,tak,nie,0
10,nie,30,offline,pc,tak,nie,poza,nie,nie,tak,nie,4,3,czasami,czesto,czasami,czasami,rzadko,4,rzadko,rzadko,rzadko,rzadko,2,nie,nie,0
11,nie,30,offline,pc,tak,nie,poza,nie,nie,tak,nie,4,3,czasami,czesto,czasami,czasami,rzadko,4,rzadko,rzadko,rzadko,rzadko,2,nie,nie,0
12,nie,48,online,pc,nie,tak,poza,tak,tak,nie,tak,4,3,czasami,czesto,czesto,czasami,rzadko,4,czasami,rzadko,nigdy,rzadko,2,nie,nie,0
13,nie,40,online,pc,nie,tak,poza,tak,tak,tak,tak,5,4,nigdy,czesto,rzadko,rzadko,czesto,4,rzadko,rzadko,rzadko,nigdy,2,nie,nie,0
14,nie,25,online,pc,nie,nie,poza,tak,tak,tak,tak,3,4,rzadko,czasami,rzadko,nigdy,rzadko,5,rzadko,nigdy,nigdy,nigdy,2,nie,tak,0
15,nie,22,online,pc,nie,nie,poza,tak,tak,nie,tak,3,4,czesto,czesto,zawsze,czesto,czasami,5,nigdy,rzadko,nigdy,czasami,2,nie,nie,1
16,nie,30,online,pc,nie,nie,poza,tak,tak,tak,tak,3,4,czasami,czesto,czasami,czasami,rzadko,4,rzadko,czasami,rzadko,rzadko,2,nie,nie,0
17,nie,20,offline,pc,nie,tak,poza,nie,tak,tak,tak,2,4,czesto,czesto,rzadko,nigdy,czasami,2,rzadko,czesto,czasami,czasami,2,nie,nie,0
18,nie,26,online,pc,tak,tak,poza,nie,tak,nie,nie,1,1,czesto,czesto,czasami,czasami,czesto,4,rzadko,rzadko,rzadko,rzadko,2,tak,nie,0
19,nie,38,offline,pc,nie,tak,poza,tak,tak,tak,tak,5,5,czasami,czesto,czasami,czesto,rzadko,5,nigdy,nigdy,nigdy,rzadko,2,tak,nie,0
20,nie,15,online,pc,nie,tak,poza,tak,tak,tak,tak,4,4,rzadko,rzadko,nigdy,nigdy,czesto,5,rzadko,rzadko,nigdy,nigdy,2,tak,nie,1
21,nie,69,online,pc,tak,tak,poza,nie,nie,tak,tak,5,5,zawsze,zawsze,zawsze,zawsze,zawsze,1,zawsze,nigdy,zawsze,nigdy,2,-,nie,1
22,nie,25,online,pc,tak,tak,poza,tak,tak,tak,tak,5,5,rzadko,rzadko,czesto,czasami,zawsze,5,rzadko,czesto,czesto,nigdy,2,nie,nie,1
23,nie,77,online,pc,nie,tak,poza,nie,tak,tak,tak,2,2,czesto,czesto,czesto,czasami,czasami,2,czasami,czasami,czesto,zawsze,1,nie,nie,0
24,nie,20,online,pc,tak,tak,poza,nie,nie,tak,tak,4,5,rzadko,czesto,czasami,czasami,rzadko,4,czasami,czesto,czasami,rzadko,4,tak,tak,0
25,nie,81,offline,pc,nie,tak,poza,nie,tak,tak,tak,5,5,rzadko,czesto,czasami,rzadko,rzadko,3,czesto,czesto,czasami,rzadko,3,tak,nie,0
26,nie,70,online,pc,tak,tak,poza,tak,tak,tak,tak,5,5,rzadko,czesto,czasami,rzadko,czasami,5,rzadko,rzadko,rzadko,nigdy,3,-,nie,1
27,nie,20,online,pc,nie,tak,poza,tak,tak,tak,tak,3,3,rzadko,rzadko,czesto,rzadko,czasami,4,czesto,czasami,czasami,rzadko,2,nie,nie,0
28,nie,49,online,pc,nie,tak,poza,nie,tak,tak,tak,5,4,czasami,czesto,czasami,rzadko,rzadko,3,czasami,czasami,czasami,czasami,2,nie,nie,0
29,tak,100,online,pc,tak,tak,w_czasie,nie,nie,nie,tak,5,4,zawsze,rzadko,czesto,zawsze,zawsze,3,zawsze,rzadko,czesto,czasami,3,-,tak,0
30,nie,40,online,pc,nie,nie,poza,tak,tak,nie,nie,3,4,czesto,czasami,rzadko,czasami,czasami,4,czasami,czasami,rzadko,rzadko,3,nie,nie,0
31,nie,60,online,pc,tak,tak,poza,tak,tak,tak,nie,4,3,zawsze,zawsze,czesto,czesto,czasami,3,czesto,czesto,czasami,nigdy,3,nie,nie,1
32,nie,49,online,pc,nie,tak,poza,tak,tak,nie,tak,4,4,rzadko,czesto,rzadko,czasami,rzadko,4,rzadko,rzadko,nigdy,nigdy,3,tak,tak,0
33,nie,18,offline,pc,nie,tak,poza,nie,tak,nie,nie,1,3,rzadko,czasami,nigdy,rzadko,czasami,4,czasami,czasami,rzadko,czasami,3,tak,tak,0
34,nie,50,online,mobile,tak,tak,poza,nie,tak,tak,tak,5,5,czasami,czesto,czasami,czesto,czasami,4,rzadko,rzadko,rzadko,nigdy,1,tak,tak,1
35,nie,21,online,mobile,tak,tak,w_czasie,tak,tak,tak,tak,3,3,rzadko,rzadko,nigdy,rzadko,rzadko,5,nigdy,rzadko,rzadko,nigdy,3,tak,nie,0
36,nie,35,online,mobile,tak,tak,poza,tak,tak,tak,tak,4,4,rzadko,czasami,nigdy,nigdy,rzadko,5,rzadko,nigdy,nigdy,nigdy,1,nie,nie,1
37,nie,17,online,mobile,tak,tak,poza,nie,tak,nie,nie,4,2,rzadko,czesto,rzadko,czasami,czesto,4,czasami,czasami,rzadko,czasami,3,tak,nie,0
38,nie,50,online,pc,tak,nie,poza,nie,nie,tak,tak,5,5,czasami,czesto,rzadko,czasami,rzadko,5,nigdy,nigdy,nigdy,nigdy,3,tak,tak,0
39,nie,28,online,pc,tak,tak,poza,tak,tak,tak,nie,4,3,rzadko,czesto,czesto,zawsze,czesto,4,nigdy,czasami,nigdy,nigdy,1,-,tak,1
40,nie,50,online,pc,nie,nie,poza,tak,tak,tak,tak,4,4,rzadko,czasami,rzadko,rzadko,czasami,4,rzadko,nigdy,nigdy,nigdy,3,tak,tak,0
41,nie,63,offline,pc,nie,nie,poza,nie,tak,tak,tak,4,4,nigdy,czasami,nigdy,rzadko,czasami,4,rzadko,rzadko,rzadko,nigdy,3,nie,nie,0
42,nie,29,online,pc,nie,tak,poza,nie,tak,tak,tak,5,5,rzadko,czasami,rzadko,czasami,rzadko,5,nigdy,nigdy,nigdy,rzadko,3,nie,nie,0
